#{"t_start": 1746790459.9946012, "env_id": "None"}
r,l,t
-120.0,537,3.389665
-120.0,580,4.731384
-120.0,409,5.901002
-96.0,721,7.947287
-120.0,543,9.365636
-120.0,462,10.484034
-120.0,484,11.804041
-120.0,393,12.999103
-120.0,442,14.365987
-120.0,685,16.405408
-120.0,582,18.010355
-96.0,935,20.567496
-100.0,509,21.70841
-120.0,511,22.999708
-120.0,568,33.635163
-120.0,424,34.653187
-120.0,881,36.902564
-120.0,555,38.256651
-120.0,444,39.335885
-120.0,708,41.194942
-120.0,441,42.449221
-114.0,622,44.108777
-100.0,616,45.791754
-120.0,636,47.624265
-120.0,443,49.165024
-120.0,716,50.748342
-96.0,896,53.073136
-120.0,595,54.747678
